:ID(Tag)|name|url|id:long|:LABEL
0|Hamid_Karzai|http://dbpedia.org/resource/Hamid_Karzai|0|Tag
1|Rumi|http://dbpedia.org/resource/Rumi|1|Tag
2|Mahmud_of_Ghazni|http://dbpedia.org/resource/Mahmud_of_Ghazni|2|Tag
3|Abbas_I_of_Persia|http://dbpedia.org/resource/Abbas_I_of_Persia|3|Tag
4|Humayun|http://dbpedia.org/resource/Humayun|4|Tag
5|Mohammed_Zahir_Shah|http://dbpedia.org/resource/Mohammed_Zahir_Shah|5|Tag
6|Augustine_of_Hippo|http://dbpedia.org/resource/Augustine_of_Hippo|6|Tag
7|Albert_Camus|http://dbpedia.org/resource/Albert_Camus|7|Tag
8|Jorge_Luis_Borges|http://dbpedia.org/resource/Jorge_Luis_Borges|8|Tag
9|Che_Guevara|http://dbpedia.org/resource/Che_Guevara|9|Tag
10|Juan_Perón|http://dbpedia.org/resource/Juan_Perón|10|Tag
11|Diego_Maradona|http://dbpedia.org/resource/Diego_Maradona|11|Tag
12|Juan_Ignacio_Chela|http://dbpedia.org/resource/Juan_Ignacio_Chela|12|Tag
13|David_Nalbandian|http://dbpedia.org/resource/David_Nalbandian|13|Tag
14|Gisela_Dulko|http://dbpedia.org/resource/Gisela_Dulko|14|Tag
15|José_de_San_Martín|http://dbpedia.org/resource/José_de_San_Martín|15|Tag
16|Paola_Suárez|http://dbpedia.org/resource/Paola_Suárez|16|Tag
17|Gastón_Gaudio|http://dbpedia.org/resource/Gastón_Gaudio|17|Tag
18|Guillermo_Cañas|http://dbpedia.org/resource/Guillermo_Cañas|18|Tag
19|José_Acasuso|http://dbpedia.org/resource/José_Acasuso|19|Tag
20|Agustín_Calleri|http://dbpedia.org/resource/Agustín_Calleri|20|Tag
21|Juan_Mónaco|http://dbpedia.org/resource/Juan_Mónaco|21|Tag
22|Carlos_Menem|http://dbpedia.org/resource/Carlos_Menem|22|Tag
23|Lionel_Messi|http://dbpedia.org/resource/Lionel_Messi|23|Tag
24|Ástor_Piazzolla|http://dbpedia.org/resource/Ástor_Piazzolla|24|Tag
25|Néstor_Kirchner|http://dbpedia.org/resource/Néstor_Kirchner|25|Tag
26|Daniel_Barenboim|http://dbpedia.org/resource/Daniel_Barenboim|26|Tag
27|Juan_Martín_del_Potro|http://dbpedia.org/resource/Juan_Martín_del_Potro|27|Tag
28|Jonathan_Erlich|http://dbpedia.org/resource/Jonathan_Erlich|28|Tag
