:START_ID(Comment)|:END_ID(Tag)|:TYPE
206158430252|1183|hasTag
206158430252|6358|hasTag
206158430252|11678|hasTag
206158430255|1183|hasTag
206158430255|3050|hasTag
206158430255|5097|hasTag
206158430255|6491|hasTag
206158430255|7557|hasTag
206158430257|1941|hasTag
206158430257|2911|hasTag
206158430257|3050|hasTag
206158430257|6491|hasTag
206158430257|7079|hasTag
206158430257|7557|hasTag
206158430260|2853|hasTag
206158430260|3050|hasTag
206158430260|5058|hasTag
206158430260|6491|hasTag
206158430263|6358|hasTag
206158430263|6426|hasTag
206158430263|7405|hasTag
206158430263|11678|hasTag
206158430461|9289|hasTag
206158430462|9189|hasTag
206158430465|14856|hasTag
206158430466|2903|hasTag
137438953980|975|hasTag
137438953980|2872|hasTag
137438953980|7510|hasTag
137438953980|12408|hasTag
137438953980|13816|hasTag
137438953982|1296|hasTag
137438953982|2893|hasTag
137438953982|5076|hasTag
137438953982|5289|hasTag
137438953982|12408|hasTag
137438953984|1025|hasTag
137438953984|2113|hasTag
137438953984|2872|hasTag
137438953984|7510|hasTag
137438953984|9302|hasTag
137438953987|1025|hasTag
137438953987|2872|hasTag
137438953987|6392|hasTag
137438953987|6818|hasTag
137438953987|6862|hasTag
137438953987|7510|hasTag
137438953987|9302|hasTag
274877907622|1196|hasTag
274877907622|2838|hasTag
274877907623|1196|hasTag
274877907623|6407|hasTag
274877907628|786|hasTag
274877907628|1196|hasTag
274877907628|6407|hasTag
274877907630|1766|hasTag
274877907630|10931|hasTag
274877907632|9258|hasTag
274877907632|10931|hasTag
343597384590|461|hasTag
343597384590|11774|hasTag
343597384592|461|hasTag
343597384592|1195|hasTag
343597384592|2102|hasTag
343597384595|795|hasTag
343597384598|461|hasTag
343597384598|9505|hasTag
343597384598|11774|hasTag
343597384607|2050|hasTag
343597384607|2790|hasTag
343597384607|6528|hasTag
343597384607|10734|hasTag
343597384607|11806|hasTag
274877908008|194|hasTag
274877908008|1990|hasTag
274877908008|1995|hasTag
274877908008|6665|hasTag
274877908008|10756|hasTag
274877908008|11995|hasTag
274877908014|194|hasTag
274877908014|1990|hasTag
274877908014|1995|hasTag
274877908014|5080|hasTag
274877908014|6665|hasTag
274877908014|7802|hasTag
274877908014|9094|hasTag
274877908014|11995|hasTag
343597384753|1410|hasTag
343597384753|6972|hasTag
343597384755|1410|hasTag
343597384755|6972|hasTag
343597384755|11782|hasTag
343597384756|1410|hasTag
343597384756|5084|hasTag
343597384756|6972|hasTag
343597384760|9339|hasTag
343597384767|7549|hasTag
68719478304|1132|hasTag
68719478304|2076|hasTag
68719478304|6274|hasTag
68719478304|6378|hasTag
68719478304|9318|hasTag
68719478400|2084|hasTag
68719478400|5132|hasTag
68719478401|1176|hasTag
68719478401|5132|hasTag
68719478402|1176|hasTag
68719478402|5258|hasTag
68719478403|12019|hasTag
68719478407|7022|hasTag
68719478410|2076|hasTag
68719478411|5644|hasTag
68719478413|2905|hasTag
68719478415|11266|hasTag
68719478418|10799|hasTag
68719478418|11266|hasTag
68719478419|418|hasTag
206158431905|973|hasTag
206158431905|2084|hasTag
206158431909|2026|hasTag
68719478440|2786|hasTag
68719478440|2833|hasTag
68719478440|5106|hasTag
68719478440|12159|hasTag
68719478443|2894|hasTag
68719478443|4975|hasTag
68719478443|5167|hasTag
68719478443|6944|hasTag
68719478443|7919|hasTag
68719478443|8912|hasTag
68719478443|9034|hasTag
68719478443|11848|hasTag
68719478445|2076|hasTag
68719478445|6373|hasTag
68719478445|7555|hasTag
68719478445|11035|hasTag
68719478445|12950|hasTag
68719478445|13379|hasTag
68719478446|5400|hasTag
68719478446|5710|hasTag
68719478446|6373|hasTag
68719478446|9257|hasTag
68719478446|12950|hasTag
68719478447|61|hasTag
68719478447|2076|hasTag
68719478447|7555|hasTag
68719478447|9147|hasTag
68719478447|11035|hasTag
68719478447|12742|hasTag
68719478456|1548|hasTag
68719478456|4849|hasTag
68719478456|9255|hasTag
68719478456|9572|hasTag
68719478456|13191|hasTag
68719478457|1614|hasTag
68719478457|2044|hasTag
68719478457|5108|hasTag
68719478457|9572|hasTag
68719478457|11686|hasTag
68719478457|12763|hasTag
68719478457|13191|hasTag
68719478460|2044|hasTag
68719478460|2912|hasTag
68719478460|5106|hasTag
68719478460|5815|hasTag
68719478460|7746|hasTag
68719478460|12763|hasTag
68719478464|9078|hasTag
68719478464|9262|hasTag
68719478464|12027|hasTag
68719478464|12763|hasTag
68719478465|2044|hasTag
68719478465|2912|hasTag
68719478465|5106|hasTag
68719478465|5815|hasTag
68719478465|7241|hasTag
68719478465|11604|hasTag
68719478465|11605|hasTag
68719478466|2044|hasTag
68719478466|2858|hasTag
68719478466|11451|hasTag
68719478466|12269|hasTag
68719478466|12763|hasTag
68719478468|1614|hasTag
68719478468|7327|hasTag
68719478468|9211|hasTag
68719478468|12763|hasTag
68719478468|13191|hasTag
68719478468|13897|hasTag
68719478468|15666|hasTag
68719478837|1339|hasTag
68719478837|2987|hasTag
68719478837|5127|hasTag
68719478837|5201|hasTag
68719478837|13875|hasTag
68719478839|1339|hasTag
68719478839|2829|hasTag
68719478839|2987|hasTag
68719478839|13961|hasTag
68719478842|295|hasTag
68719478842|2987|hasTag
68719478842|5127|hasTag
68719478842|11903|hasTag
68719478842|13875|hasTag
68719478842|15926|hasTag
68719478848|2987|hasTag
68719478848|9170|hasTag
68719478848|9271|hasTag
68719478850|2987|hasTag
68719478850|5127|hasTag
68719478850|7256|hasTag
68719478850|9001|hasTag
68719478906|11538|hasTag
68719478913|1444|hasTag
68719478913|2979|hasTag
274877909125|1444|hasTag
274877909125|9141|hasTag
274877909128|1444|hasTag
274877909128|11408|hasTag
274877909130|1444|hasTag
274877909130|7012|hasTag
274877909132|1444|hasTag
274877909132|7012|hasTag
274877909132|12103|hasTag
274877909133|1444|hasTag
274877909133|1766|hasTag
274877909133|11408|hasTag
274877909136|1444|hasTag
274877909136|7012|hasTag
274877909136|8641|hasTag
274877909140|1444|hasTag
274877909140|6704|hasTag
274877909141|806|hasTag
343597385886|1444|hasTag
343597385886|2008|hasTag
343597385886|9271|hasTag
343597385888|1444|hasTag
343597385888|2062|hasTag
343597385888|5275|hasTag
274877909158|564|hasTag
274877909158|1375|hasTag
274877909158|2812|hasTag
274877909158|2850|hasTag
274877909158|6410|hasTag
274877909158|6443|hasTag
274877909158|6750|hasTag
274877909158|9146|hasTag
274877909160|564|hasTag
274877909160|3047|hasTag
274877909160|5109|hasTag
274877909160|6443|hasTag
274877909160|7555|hasTag
274877909160|9043|hasTag
274877909160|9146|hasTag
274877909162|1375|hasTag
274877909162|2850|hasTag
274877909162|6402|hasTag
274877909162|6443|hasTag
274877909162|7538|hasTag
274877909162|9033|hasTag
274877909162|9146|hasTag
274877909162|9678|hasTag
274877909166|564|hasTag
274877909166|1615|hasTag
274877909166|5109|hasTag
274877909166|5619|hasTag
274877909166|6443|hasTag
274877909166|9146|hasTag
274877909166|9259|hasTag
274877909166|12300|hasTag
274877909170|564|hasTag
274877909170|1375|hasTag
274877909170|1753|hasTag
274877909170|2044|hasTag
274877909170|6410|hasTag
274877909170|6443|hasTag
274877909170|6750|hasTag
274877909170|9146|hasTag
274877909170|9243|hasTag
274877909170|10314|hasTag
274877909173|1762|hasTag
274877909173|7367|hasTag
274877909173|8374|hasTag
274877909173|9820|hasTag
274877909173|11741|hasTag
274877909175|8203|hasTag
274877909175|9479|hasTag
274877909175|13403|hasTag
274877909177|2078|hasTag
274877909177|2778|hasTag
274877909177|5102|hasTag
274877909177|8374|hasTag
274877909177|9820|hasTag
274877909180|544|hasTag
274877909180|564|hasTag
274877909180|1762|hasTag
274877909180|6154|hasTag
274877909180|6931|hasTag
274877909180|7367|hasTag
274877909180|7513|hasTag
274877909182|2078|hasTag
274877909182|2778|hasTag
274877909182|6355|hasTag
274877909182|8374|hasTag
274877909182|9157|hasTag
274877909182|9820|hasTag
274877909182|10317|hasTag
274877909184|544|hasTag
274877909184|564|hasTag
274877909184|777|hasTag
274877909184|1762|hasTag
274877909184|2037|hasTag
274877909184|5063|hasTag
274877909184|5079|hasTag
274877909184|6154|hasTag
274877909184|7367|hasTag
274877909187|564|hasTag
274877909187|2973|hasTag
274877909187|3084|hasTag
274877909187|9273|hasTag
274877909187|13698|hasTag
274877909193|564|hasTag
274877909193|1987|hasTag
274877909193|2030|hasTag
274877909193|6447|hasTag
274877909193|11237|hasTag
274877909201|2017|hasTag
274877909201|7007|hasTag
274877909201|7547|hasTag
274877909201|11737|hasTag
274877909203|2058|hasTag
274877909203|2875|hasTag
274877909203|7547|hasTag
274877909203|7558|hasTag
274877909203|7581|hasTag
274877909203|10955|hasTag
206158432666|1521|hasTag
206158432666|2850|hasTag
206158432666|8153|hasTag
206158432666|9329|hasTag
206158432666|12609|hasTag
206158432666|13854|hasTag
206158432672|1173|hasTag
206158432672|1521|hasTag
206158432672|2021|hasTag
206158432672|2850|hasTag
206158432672|12609|hasTag
274877909515|1419|hasTag
274877909515|2078|hasTag
206158432793|1419|hasTag
206158432793|7196|hasTag
206158432794|1419|hasTag
206158432794|7559|hasTag
206158432796|7559|hasTag
206158432796|9742|hasTag
206158432801|5638|hasTag
206158432801|7559|hasTag
274877909545|5303|hasTag
274877909545|9143|hasTag
274877909545|13258|hasTag
274877909546|6551|hasTag
274877909546|7520|hasTag
274877909546|11251|hasTag
274877909546|14785|hasTag
274877909551|6551|hasTag
274877909551|7479|hasTag
274877909551|13748|hasTag
274877909552|2024|hasTag
274877909552|2900|hasTag
274877909552|6551|hasTag
274877909552|11251|hasTag
274877909553|2780|hasTag
274877909553|6551|hasTag
274877909553|7140|hasTag
274877909553|13748|hasTag
343597386294|3080|hasTag
343597386295|3080|hasTag
343597386295|9265|hasTag
343597386296|2969|hasTag
343597386296|3080|hasTag
206158432838|791|hasTag
206158432838|2781|hasTag
206158432838|3055|hasTag
206158432838|5301|hasTag
206158432838|12474|hasTag
206158432840|788|hasTag
206158432840|2821|hasTag
206158432840|5301|hasTag
206158432840|7604|hasTag
206158432840|12474|hasTag
206158432843|791|hasTag
206158432843|5301|hasTag
206158432843|6990|hasTag
206158432843|7511|hasTag
206158432843|7564|hasTag
206158432843|12474|hasTag
206158432844|294|hasTag
206158432844|791|hasTag
206158432844|3038|hasTag
206158432844|3055|hasTag
206158432844|5301|hasTag
206158432844|12474|hasTag
206158432844|15390|hasTag
274877909588|1198|hasTag
274877909588|1681|hasTag
274877909588|2954|hasTag
274877909595|138|hasTag
274877909595|1198|hasTag
274877909595|2117|hasTag
274877909595|9110|hasTag
274877909595|9217|hasTag
274877909596|142|hasTag
274877909596|1198|hasTag
274877909596|12204|hasTag
274877909598|576|hasTag
274877909598|1198|hasTag
274877909598|3068|hasTag
274877909598|5530|hasTag
274877909598|9217|hasTag
274877909600|1198|hasTag
274877909600|1199|hasTag
274877909600|2081|hasTag
68719479395|138|hasTag
68719479395|789|hasTag
68719479395|1177|hasTag
68719479395|11622|hasTag
68719479396|138|hasTag
68719479396|2849|hasTag
68719479396|11532|hasTag
68719479401|138|hasTag
68719479401|3014|hasTag
68719479401|5520|hasTag
68719479403|138|hasTag
68719479403|3081|hasTag
68719479403|6402|hasTag
68719479403|11622|hasTag
68719479407|138|hasTag
68719479407|3014|hasTag
68719479407|5520|hasTag
68719479407|11755|hasTag
68719479407|14450|hasTag
68719479409|3081|hasTag
68719479409|5145|hasTag
68719479409|6402|hasTag
68719479409|13474|hasTag
206158432883|11647|hasTag
206158432887|10070|hasTag
206158432887|11647|hasTag
206158432890|544|hasTag
343597386557|9417|hasTag
343597386559|9398|hasTag
343597386563|2|hasTag
343597386563|10401|hasTag
343597386564|2123|hasTag
343597386565|2123|hasTag
343597386565|6405|hasTag
343597386567|2123|hasTag
343597386567|5866|hasTag
343597386567|6405|hasTag
343597386570|12066|hasTag
343597386571|6426|hasTag
343597386571|12066|hasTag
343597386573|138|hasTag
274877909843|1676|hasTag
274877909843|2026|hasTag
274877909843|2052|hasTag
274877909843|2845|hasTag
274877909843|5200|hasTag
274877909843|8150|hasTag
274877909843|9084|hasTag
274877909843|9175|hasTag
274877909843|11743|hasTag
274877909843|12301|hasTag
