:START_ID(Forum)|:END_ID(Person)|joinDate|:TYPE
274877906944|150|1284873947521|hasMember
274877906944|2199023255629|1286115880405|hasMember
274877906944|6597069766660|1285058326513|hasMember
274877906944|6597069766786|1286845504693|hasMember
343597383681|2199023255629|1289728119223|hasMember
343597383681|6597069766660|1289656715739|hasMember
137438953477|4398046511325|1278777902244|hasMember
137438953477|6597069766769|1280169328754|hasMember
137438953477|6597069766794|1282684728728|hasMember
137438953477|6597069766861|1282718620491|hasMember
137438953477|8796093022232|1288005064276|hasMember
137438953477|8796093022404|1285751138780|hasMember
206158430214|73|1281339968326|hasMember
206158430214|136|1281107253207|hasMember
206158430214|2199023255767|1280934267302|hasMember
206158430214|4398046511109|1279647468551|hasMember
206158430214|4398046511113|1281695347765|hasMember
206158430214|6597069766660|1282648950166|hasMember
206158430214|6597069766775|1281669869209|hasMember
206158430214|10995116277794|1290112832743|hasMember
68719476743|73|1271783482888|hasMember
68719476743|153|1271996801675|hasMember
68719476743|2199023255689|1270294225339|hasMember
68719476743|4398046511146|1277035136396|hasMember
68719476743|4398046511220|1278611245632|hasMember
68719476743|4398046511333|1277697930776|hasMember
68719476743|6597069766660|1281782698946|hasMember
68719476743|6597069766753|1283911264722|hasMember
68719476743|6597069766775|1283012901202|hasMember
68719476743|8796093022248|1284415393392|hasMember
68719476743|8796093022357|1287547515016|hasMember
206158430216|73|1288262643251|hasMember
206158430216|4398046511220|1284150687688|hasMember
206158430216|4398046511333|1287889538375|hasMember
206158430216|6597069766660|1289084091034|hasMember
206158430216|6597069766775|1289946756138|hasMember
206158430216|8796093022248|1285907348832|hasMember
68719476745|73|1288185067870|hasMember
68719476745|2199023255689|1275434378163|hasMember
68719476745|4398046511146|1279173501861|hasMember
68719476745|4398046511333|1278585682881|hasMember
68719476745|8796093022248|1288636739212|hasMember
137438953482|153|1286028496511|hasMember
137438953482|2199023255689|1273859867979|hasMember
137438953482|4398046511333|1283374289675|hasMember
137438953482|6597069766775|1283493976798|hasMember
137438953483|153|1282975052566|hasMember
137438953483|2199023255689|1288623704905|hasMember
137438953483|4398046511146|1281453904585|hasMember
137438953483|4398046511220|1283903154043|hasMember
137438953483|4398046511333|1286299369324|hasMember
137438953483|6597069766775|1287743464999|hasMember
137438953483|8796093022357|1288405538459|hasMember
68719476748|73|1278293694962|hasMember
68719476748|153|1283791704605|hasMember
68719476748|4398046511220|1279853972424|hasMember
68719476748|4398046511333|1284981782492|hasMember
68719476748|6597069766753|1286502796253|hasMember
68719476748|6597069766775|1286216273100|hasMember
68719476748|8796093022248|1289786410103|hasMember
206158430221|73|1283164546471|hasMember
206158430221|153|1288543000495|hasMember
206158430221|4398046511220|1287321665501|hasMember
206158430221|6597069766660|1289592943705|hasMember
206158430221|6597069766753|1286613093304|hasMember
206158430221|6597069766775|1283549704221|hasMember
206158430221|8796093022248|1286216279240|hasMember
274877906958|4398046511146|1290062946108|hasMember
274877906958|4398046511220|1289298565635|hasMember
274877906958|4398046511333|1286625504276|hasMember
274877906958|6597069766753|1290128958981|hasMember
274877906959|4398046511146|1288407138823|hasMember
274877906959|4398046511220|1289875593044|hasMember
274877906959|6597069766660|1290655490211|hasMember
274877906959|6597069766775|1289753971637|hasMember
274877906959|8796093022248|1287923260273|hasMember
206158430224|153|1286936101407|hasMember
206158430224|2199023255689|1281002619438|hasMember
206158430224|4398046511146|1281434013556|hasMember
206158430224|8796093022248|1284842622776|hasMember
137438953500|246|1275260195693|hasMember
137438953500|2199023255629|1274737155457|hasMember
137438953500|2199023255693|1275388199669|hasMember
137438953500|2199023255787|1274839886987|hasMember
137438953500|6597069766701|1279321460011|hasMember
137438953500|8796093022248|1283672325323|hasMember
137438953500|8796093022300|1284291355329|hasMember
137438953500|8796093022301|1285234261369|hasMember
137438953501|2199023255629|1281833202403|hasMember
137438953501|2199023255787|1290360265230|hasMember
137438953501|8796093022248|1289854040920|hasMember
137438953501|8796093022300|1287890603460|hasMember
274877906974|246|1289653824820|hasMember
274877906974|2199023255629|1290434555120|hasMember
274877906974|2199023255693|1286311140466|hasMember
274877906974|2199023255787|1290464249860|hasMember
274877906974|8796093022300|1290091703422|hasMember
137438953503|246|1278870957631|hasMember
137438953503|2199023255629|1290531236723|hasMember
137438953503|2199023255693|1285260159481|hasMember
137438953503|8796093022248|1287328611926|hasMember
137438953503|8796093022300|1287100425207|hasMember
137438953503|8796093022301|1289044523061|hasMember
274877906976|2199023255787|1287083243883|hasMember
274877906976|6597069766701|1289052128557|hasMember
274877906976|8796093022248|1286867676903|hasMember
206158430241|2199023255629|1287036324561|hasMember
206158430241|2199023255693|1282910558329|hasMember
206158430241|2199023255787|1284771334389|hasMember
206158430241|6597069766701|1283892211166|hasMember
206158430241|8796093022301|1290346684269|hasMember
137438953506|2199023255693|1277570904437|hasMember
137438953506|6597069766701|1285370128356|hasMember
137438953506|8796093022301|1288118750016|hasMember
137438953507|2199023255629|1280189034544|hasMember
137438953507|2199023255693|1279231183651|hasMember
137438953507|2199023255787|1285780947981|hasMember
137438953507|6597069766701|1285979900955|hasMember
137438953507|8796093022248|1283697189429|hasMember
137438953507|8796093022301|1289253370273|hasMember
343597383717|143|1289398978191|hasMember
343597383717|2199023255629|1290542842828|hasMember
343597383717|6597069766775|1288859702884|hasMember
343597383720|102|1289666551749|hasMember
343597383720|143|1289753646298|hasMember
343597383720|153|1289507740913|hasMember
343597383720|195|1289454270761|hasMember
343597383720|228|1288977002825|hasMember
343597383720|2199023255746|1289200270923|hasMember
343597383720|2199023255753|1289408934858|hasMember
343597383720|4398046511105|1289591812357|hasMember
343597383720|4398046511112|1289869892341|hasMember
343597383720|4398046511225|1289185990490|hasMember
