:START_ID(Forum)|:END_ID(Tag)|:TYPE
274877906944|1524|hasTag
274877906944|2041|hasTag
274877906944|14812|hasTag
343597383681|14812|hasTag
343597383682|14812|hasTag
343597383683|1524|hasTag
137438953477|275|hasTag
137438953477|784|hasTag
137438953477|1762|hasTag
137438953477|1990|hasTag
137438953477|2856|hasTag
137438953477|11633|hasTag
137438953477|11872|hasTag
206158430214|1429|hasTag
206158430214|5721|hasTag
206158430214|6365|hasTag
68719476743|1183|hasTag
68719476743|1462|hasTag
68719476743|1764|hasTag
68719476743|1984|hasTag
68719476743|1993|hasTag
68719476743|2004|hasTag
68719476743|2087|hasTag
68719476743|2804|hasTag
68719476743|2810|hasTag
68719476743|2858|hasTag
68719476743|2876|hasTag
68719476743|2915|hasTag
68719476743|2957|hasTag
68719476743|3024|hasTag
68719476743|3050|hasTag
68719476743|3096|hasTag
68719476743|5546|hasTag
68719476743|6491|hasTag
68719476743|6991|hasTag
68719476743|7031|hasTag
68719476743|9141|hasTag
68719476743|9143|hasTag
68719476743|9310|hasTag
68719476743|10558|hasTag
68719476743|10997|hasTag
206158430216|2915|hasTag
68719476745|1764|hasTag
137438953482|9310|hasTag
137438953483|3024|hasTag
68719476748|3096|hasTag
206158430221|10558|hasTag
274877906958|2087|hasTag
274877906959|2810|hasTag
206158430224|10558|hasTag
68719476753|206|hasTag
68719476753|299|hasTag
68719476753|449|hasTag
68719476753|469|hasTag
68719476753|545|hasTag
68719476753|565|hasTag
68719476753|573|hasTag
68719476753|579|hasTag
68719476753|596|hasTag
68719476753|974|hasTag
68719476753|1021|hasTag
68719476753|1022|hasTag
68719476753|1164|hasTag
68719476753|1170|hasTag
68719476753|1171|hasTag
68719476753|1176|hasTag
68719476753|1178|hasTag
68719476753|1186|hasTag
68719476753|1191|hasTag
68719476753|1195|hasTag
68719476753|1201|hasTag
68719476753|1205|hasTag
68719476753|1421|hasTag
68719476753|1614|hasTag
68719476753|1674|hasTag
68719476753|1759|hasTag
68719476753|1764|hasTag
68719476753|1930|hasTag
68719476753|1953|hasTag
68719476753|1984|hasTag
68719476753|1985|hasTag
68719476753|2003|hasTag
