:START_ID(Organisation)|:END_ID(Place)|:TYPE
0|59|isLocatedIn
1|59|isLocatedIn
2|59|isLocatedIn
3|59|isLocatedIn
4|59|isLocatedIn
5|59|isLocatedIn
6|59|isLocatedIn
7|60|isLocatedIn
8|60|isLocatedIn
9|60|isLocatedIn
10|60|isLocatedIn
11|60|isLocatedIn
12|2|isLocatedIn
13|2|isLocatedIn
14|2|isLocatedIn
15|2|isLocatedIn
16|2|isLocatedIn
17|2|isLocatedIn
18|2|isLocatedIn
19|2|isLocatedIn
20|2|isLocatedIn
21|61|isLocatedIn
22|61|isLocatedIn
23|61|isLocatedIn
24|61|isLocatedIn
25|61|isLocatedIn
26|61|isLocatedIn
27|61|isLocatedIn
28|61|isLocatedIn
29|61|isLocatedIn
30|61|isLocatedIn
31|61|isLocatedIn
32|61|isLocatedIn
33|61|isLocatedIn
34|62|isLocatedIn
35|62|isLocatedIn
36|62|isLocatedIn
37|62|isLocatedIn
38|62|isLocatedIn
39|62|isLocatedIn
40|62|isLocatedIn
41|62|isLocatedIn
42|62|isLocatedIn
43|62|isLocatedIn
44|62|isLocatedIn
45|62|isLocatedIn
46|62|isLocatedIn
47|62|isLocatedIn
48|62|isLocatedIn
49|62|isLocatedIn
50|62|isLocatedIn
51|62|isLocatedIn
52|62|isLocatedIn
53|62|isLocatedIn
54|62|isLocatedIn
55|62|isLocatedIn
56|62|isLocatedIn
57|62|isLocatedIn
58|62|isLocatedIn
59|62|isLocatedIn
60|62|isLocatedIn
61|62|isLocatedIn
62|62|isLocatedIn
63|62|isLocatedIn
64|62|isLocatedIn
65|62|isLocatedIn
66|62|isLocatedIn
67|62|isLocatedIn
68|62|isLocatedIn
69|62|isLocatedIn
70|62|isLocatedIn
71|62|isLocatedIn
72|62|isLocatedIn
73|62|isLocatedIn
74|62|isLocatedIn
75|62|isLocatedIn
76|62|isLocatedIn
77|62|isLocatedIn
78|62|isLocatedIn
79|3|isLocatedIn
80|3|isLocatedIn
81|3|isLocatedIn
82|3|isLocatedIn
83|3|isLocatedIn
84|3|isLocatedIn
85|3|isLocatedIn
86|3|isLocatedIn
87|3|isLocatedIn
88|3|isLocatedIn
89|3|isLocatedIn
90|3|isLocatedIn
91|3|isLocatedIn
92|3|isLocatedIn
93|3|isLocatedIn
94|3|isLocatedIn
95|3|isLocatedIn
96|3|isLocatedIn
97|3|isLocatedIn
98|3|isLocatedIn
99|3|isLocatedIn
100|4|isLocatedIn
101|4|isLocatedIn
102|4|isLocatedIn
103|4|isLocatedIn
104|4|isLocatedIn
105|4|isLocatedIn
106|63|isLocatedIn
107|63|isLocatedIn
108|63|isLocatedIn
109|63|isLocatedIn
110|64|isLocatedIn
111|64|isLocatedIn
112|64|isLocatedIn
113|64|isLocatedIn
114|64|isLocatedIn
115|64|isLocatedIn
116|64|isLocatedIn
117|64|isLocatedIn
118|64|isLocatedIn
119|64|isLocatedIn
120|64|isLocatedIn
121|64|isLocatedIn
122|5|isLocatedIn
123|5|isLocatedIn
124|5|isLocatedIn
125|5|isLocatedIn
126|5|isLocatedIn
127|5|isLocatedIn
128|5|isLocatedIn
129|6|isLocatedIn
130|6|isLocatedIn
131|6|isLocatedIn
132|6|isLocatedIn
133|6|isLocatedIn
134|6|isLocatedIn
135|49|isLocatedIn
136|49|isLocatedIn
137|49|isLocatedIn
138|49|isLocatedIn
139|49|isLocatedIn
140|49|isLocatedIn
141|49|isLocatedIn
142|49|isLocatedIn
143|49|isLocatedIn
144|49|isLocatedIn
145|49|isLocatedIn
146|49|isLocatedIn
147|49|isLocatedIn
148|49|isLocatedIn
149|49|isLocatedIn
150|49|isLocatedIn
151|49|isLocatedIn
152|49|isLocatedIn
153|49|isLocatedIn
154|49|isLocatedIn
155|49|isLocatedIn
156|49|isLocatedIn
157|49|isLocatedIn
158|49|isLocatedIn
159|49|isLocatedIn
160|49|isLocatedIn
161|49|isLocatedIn
162|49|isLocatedIn
163|49|isLocatedIn
164|49|isLocatedIn
165|49|isLocatedIn
166|49|isLocatedIn
167|49|isLocatedIn
168|49|isLocatedIn
169|49|isLocatedIn
170|49|isLocatedIn
171|49|isLocatedIn
172|49|isLocatedIn
173|49|isLocatedIn
174|49|isLocatedIn
175|49|isLocatedIn
176|49|isLocatedIn
177|49|isLocatedIn
178|49|isLocatedIn
179|49|isLocatedIn
180|49|isLocatedIn
181|49|isLocatedIn
182|49|isLocatedIn
183|49|isLocatedIn
184|49|isLocatedIn
185|49|isLocatedIn
186|7|isLocatedIn
187|7|isLocatedIn
188|7|isLocatedIn
189|7|isLocatedIn
190|7|isLocatedIn
191|7|isLocatedIn
192|7|isLocatedIn
193|7|isLocatedIn
194|7|isLocatedIn
195|67|isLocatedIn
196|67|isLocatedIn
197|67|isLocatedIn
198|67|isLocatedIn
199|67|isLocatedIn
200|67|isLocatedIn
201|67|isLocatedIn
202|67|isLocatedIn
203|67|isLocatedIn
204|67|isLocatedIn
205|68|isLocatedIn
206|68|isLocatedIn
207|68|isLocatedIn
208|68|isLocatedIn
209|68|isLocatedIn
210|66|isLocatedIn
211|66|isLocatedIn
212|66|isLocatedIn
213|66|isLocatedIn
214|66|isLocatedIn
215|66|isLocatedIn
216|66|isLocatedIn
217|66|isLocatedIn
218|66|isLocatedIn
219|66|isLocatedIn
220|66|isLocatedIn
221|66|isLocatedIn
222|66|isLocatedIn
223|66|isLocatedIn
224|66|isLocatedIn
225|66|isLocatedIn
226|66|isLocatedIn
227|66|isLocatedIn
228|66|isLocatedIn
229|66|isLocatedIn
230|66|isLocatedIn
231|66|isLocatedIn
232|66|isLocatedIn
233|66|isLocatedIn
234|66|isLocatedIn
235|66|isLocatedIn
236|66|isLocatedIn
237|66|isLocatedIn
238|66|isLocatedIn
239|66|isLocatedIn
240|66|isLocatedIn
241|66|isLocatedIn
242|66|isLocatedIn
243|66|isLocatedIn
244|66|isLocatedIn
245|66|isLocatedIn
246|66|isLocatedIn
247|66|isLocatedIn
248|66|isLocatedIn
249|8|isLocatedIn
250|8|isLocatedIn
251|8|isLocatedIn
252|69|isLocatedIn
253|69|isLocatedIn
254|69|isLocatedIn
255|69|isLocatedIn
256|69|isLocatedIn
257|69|isLocatedIn
258|69|isLocatedIn
259|69|isLocatedIn
260|69|isLocatedIn
261|70|isLocatedIn
262|70|isLocatedIn
263|70|isLocatedIn
264|70|isLocatedIn
265|70|isLocatedIn
266|70|isLocatedIn
267|70|isLocatedIn
268|70|isLocatedIn
269|70|isLocatedIn
270|70|isLocatedIn
271|70|isLocatedIn
272|70|isLocatedIn
273|70|isLocatedIn
274|70|isLocatedIn
275|70|isLocatedIn
276|70|isLocatedIn
277|70|isLocatedIn
278|70|isLocatedIn
279|70|isLocatedIn
280|70|isLocatedIn
281|70|isLocatedIn
282|70|isLocatedIn
283|70|isLocatedIn
284|70|isLocatedIn
285|70|isLocatedIn
286|70|isLocatedIn
287|70|isLocatedIn
288|70|isLocatedIn
289|70|isLocatedIn
290|70|isLocatedIn
291|70|isLocatedIn
292|9|isLocatedIn
293|9|isLocatedIn
294|9|isLocatedIn
295|9|isLocatedIn
296|71|isLocatedIn
297|71|isLocatedIn
298|71|isLocatedIn
299|72|isLocatedIn
300|72|isLocatedIn
301|72|isLocatedIn
302|72|isLocatedIn
303|72|isLocatedIn
304|72|isLocatedIn
305|72|isLocatedIn
306|72|isLocatedIn
307|72|isLocatedIn
308|73|isLocatedIn
309|73|isLocatedIn
310|73|isLocatedIn
311|73|isLocatedIn
312|73|isLocatedIn
313|73|isLocatedIn
314|73|isLocatedIn
315|73|isLocatedIn
316|73|isLocatedIn
317|73|isLocatedIn
318|73|isLocatedIn
319|73|isLocatedIn
320|73|isLocatedIn
321|73|isLocatedIn
322|73|isLocatedIn
323|73|isLocatedIn
324|73|isLocatedIn
325|73|isLocatedIn
326|73|isLocatedIn
327|73|isLocatedIn
328|73|isLocatedIn
329|73|isLocatedIn
330|73|isLocatedIn
331|73|isLocatedIn
332|10|isLocatedIn
333|10|isLocatedIn
334|10|isLocatedIn
335|10|isLocatedIn
336|10|isLocatedIn
337|10|isLocatedIn
338|10|isLocatedIn
339|10|isLocatedIn
340|10|isLocatedIn
341|10|isLocatedIn
342|10|isLocatedIn
343|10|isLocatedIn
344|10|isLocatedIn
345|11|isLocatedIn
346|11|isLocatedIn
347|74|isLocatedIn
348|74|isLocatedIn
349|74|isLocatedIn
350|74|isLocatedIn
351|74|isLocatedIn
352|74|isLocatedIn
353|74|isLocatedIn
354|74|isLocatedIn
355|74|isLocatedIn
356|74|isLocatedIn
357|74|isLocatedIn
358|74|isLocatedIn
359|74|isLocatedIn
360|74|isLocatedIn
361|74|isLocatedIn
362|74|isLocatedIn
363|74|isLocatedIn
364|74|isLocatedIn
365|74|isLocatedIn
366|74|isLocatedIn
367|74|isLocatedIn
368|74|isLocatedIn
369|74|isLocatedIn
370|75|isLocatedIn
371|75|isLocatedIn
372|75|isLocatedIn
373|75|isLocatedIn
374|75|isLocatedIn
375|75|isLocatedIn
376|75|isLocatedIn
377|75|isLocatedIn
378|75|isLocatedIn
379|75|isLocatedIn
380|75|isLocatedIn
381|75|isLocatedIn
382|75|isLocatedIn
383|75|isLocatedIn
384|75|isLocatedIn
385|75|isLocatedIn
386|75|isLocatedIn
387|75|isLocatedIn
388|75|isLocatedIn
389|75|isLocatedIn
390|75|isLocatedIn
391|75|isLocatedIn
392|75|isLocatedIn
393|75|isLocatedIn
394|13|isLocatedIn
395|13|isLocatedIn
396|13|isLocatedIn
397|13|isLocatedIn
398|13|isLocatedIn
399|76|isLocatedIn
400|76|isLocatedIn
401|14|isLocatedIn
402|14|isLocatedIn
403|14|isLocatedIn
404|14|isLocatedIn
405|14|isLocatedIn
406|14|isLocatedIn
407|14|isLocatedIn
408|14|isLocatedIn
409|14|isLocatedIn
410|14|isLocatedIn
411|77|isLocatedIn
412|77|isLocatedIn
413|77|isLocatedIn
414|77|isLocatedIn
415|77|isLocatedIn
416|77|isLocatedIn
417|77|isLocatedIn
418|77|isLocatedIn
419|77|isLocatedIn
420|77|isLocatedIn
421|77|isLocatedIn
422|77|isLocatedIn
423|77|isLocatedIn
424|77|isLocatedIn
425|77|isLocatedIn
426|77|isLocatedIn
427|77|isLocatedIn
428|77|isLocatedIn
429|77|isLocatedIn
430|77|isLocatedIn
431|77|isLocatedIn
432|77|isLocatedIn
433|77|isLocatedIn
434|77|isLocatedIn
435|77|isLocatedIn
436|77|isLocatedIn
437|77|isLocatedIn
438|77|isLocatedIn
439|77|isLocatedIn
440|77|isLocatedIn
441|77|isLocatedIn
442|50|isLocatedIn
443|50|isLocatedIn
444|50|isLocatedIn
445|50|isLocatedIn
446|50|isLocatedIn
447|50|isLocatedIn
448|50|isLocatedIn
449|50|isLocatedIn
450|50|isLocatedIn
451|50|isLocatedIn
452|50|isLocatedIn
453|50|isLocatedIn
454|50|isLocatedIn
455|50|isLocatedIn
456|50|isLocatedIn
457|50|isLocatedIn
458|50|isLocatedIn
459|50|isLocatedIn
460|50|isLocatedIn
461|50|isLocatedIn
462|50|isLocatedIn
463|50|isLocatedIn
464|50|isLocatedIn
465|50|isLocatedIn
466|50|isLocatedIn
467|50|isLocatedIn
468|50|isLocatedIn
469|50|isLocatedIn
470|50|isLocatedIn
471|50|isLocatedIn
472|50|isLocatedIn
473|50|isLocatedIn
474|50|isLocatedIn
475|50|isLocatedIn
476|50|isLocatedIn
477|50|isLocatedIn
478|50|isLocatedIn
479|50|isLocatedIn
480|50|isLocatedIn
481|50|isLocatedIn
482|50|isLocatedIn
483|50|isLocatedIn
484|50|isLocatedIn
485|50|isLocatedIn
486|50|isLocatedIn
487|50|isLocatedIn
488|50|isLocatedIn
489|50|isLocatedIn
490|78|isLocatedIn
491|78|isLocatedIn
492|78|isLocatedIn
493|78|isLocatedIn
494|78|isLocatedIn
495|78|isLocatedIn
496|78|isLocatedIn
497|78|isLocatedIn
498|78|isLocatedIn
499|78|isLocatedIn
500|78|isLocatedIn
501|78|isLocatedIn
502|78|isLocatedIn
503|78|isLocatedIn
504|78|isLocatedIn
505|78|isLocatedIn
506|78|isLocatedIn
507|78|isLocatedIn
508|78|isLocatedIn
509|78|isLocatedIn
510|78|isLocatedIn
511|78|isLocatedIn
512|78|isLocatedIn
513|78|isLocatedIn
514|78|isLocatedIn
515|78|isLocatedIn
516|78|isLocatedIn
517|78|isLocatedIn
518|15|isLocatedIn
519|15|isLocatedIn
520|15|isLocatedIn
521|15|isLocatedIn
522|15|isLocatedIn
523|16|isLocatedIn
524|16|isLocatedIn
525|16|isLocatedIn
526|16|isLocatedIn
527|16|isLocatedIn
528|16|isLocatedIn
529|16|isLocatedIn
530|16|isLocatedIn
531|16|isLocatedIn
532|79|isLocatedIn
533|79|isLocatedIn
534|79|isLocatedIn
535|79|isLocatedIn
536|79|isLocatedIn
537|79|isLocatedIn
538|0|isLocatedIn
539|0|isLocatedIn
540|0|isLocatedIn
541|0|isLocatedIn
542|0|isLocatedIn
543|0|isLocatedIn
544|0|isLocatedIn
545|0|isLocatedIn
546|0|isLocatedIn
547|0|isLocatedIn
548|0|isLocatedIn
549|0|isLocatedIn
550|0|isLocatedIn
551|0|isLocatedIn
552|0|isLocatedIn
553|0|isLocatedIn
554|0|isLocatedIn
555|51|isLocatedIn
556|51|isLocatedIn
557|51|isLocatedIn
558|51|isLocatedIn
559|51|isLocatedIn
560|51|isLocatedIn
561|51|isLocatedIn
562|51|isLocatedIn
563|51|isLocatedIn
564|51|isLocatedIn
565|51|isLocatedIn
566|51|isLocatedIn
567|51|isLocatedIn
568|51|isLocatedIn
569|51|isLocatedIn
570|51|isLocatedIn
571|51|isLocatedIn
572|51|isLocatedIn
573|51|isLocatedIn
574|51|isLocatedIn
575|51|isLocatedIn
576|51|isLocatedIn
577|51|isLocatedIn
578|51|isLocatedIn
579|51|isLocatedIn
580|51|isLocatedIn
581|51|isLocatedIn
582|51|isLocatedIn
583|51|isLocatedIn
584|51|isLocatedIn
585|51|isLocatedIn
586|51|isLocatedIn
587|51|isLocatedIn
588|51|isLocatedIn
589|80|isLocatedIn
590|80|isLocatedIn
591|80|isLocatedIn
592|80|isLocatedIn
593|80|isLocatedIn
594|80|isLocatedIn
595|80|isLocatedIn
596|80|isLocatedIn
597|80|isLocatedIn
598|80|isLocatedIn
599|80|isLocatedIn
600|80|isLocatedIn
601|80|isLocatedIn
602|80|isLocatedIn
603|80|isLocatedIn
604|80|isLocatedIn
605|80|isLocatedIn
606|80|isLocatedIn
607|17|isLocatedIn
608|17|isLocatedIn
609|17|isLocatedIn
610|17|isLocatedIn
611|17|isLocatedIn
612|17|isLocatedIn
613|17|isLocatedIn
614|17|isLocatedIn
615|17|isLocatedIn
616|17|isLocatedIn
617|81|isLocatedIn
618|81|isLocatedIn
619|81|isLocatedIn
620|81|isLocatedIn
621|81|isLocatedIn
622|81|isLocatedIn
623|81|isLocatedIn
624|81|isLocatedIn
625|81|isLocatedIn
626|81|isLocatedIn
627|81|isLocatedIn
628|81|isLocatedIn
629|81|isLocatedIn
630|81|isLocatedIn
631|81|isLocatedIn
632|81|isLocatedIn
633|81|isLocatedIn
634|81|isLocatedIn
635|81|isLocatedIn
636|81|isLocatedIn
637|81|isLocatedIn
638|81|isLocatedIn
639|81|isLocatedIn
640|81|isLocatedIn
641|81|isLocatedIn
642|81|isLocatedIn
643|81|isLocatedIn
644|81|isLocatedIn
645|81|isLocatedIn
646|81|isLocatedIn
647|81|isLocatedIn
648|81|isLocatedIn
649|81|isLocatedIn
650|81|isLocatedIn
651|81|isLocatedIn
652|81|isLocatedIn
653|81|isLocatedIn
654|81|isLocatedIn
655|81|isLocatedIn
656|81|isLocatedIn
657|81|isLocatedIn
658|81|isLocatedIn
659|81|isLocatedIn
660|81|isLocatedIn
661|81|isLocatedIn
662|81|isLocatedIn
663|81|isLocatedIn
664|52|isLocatedIn
665|52|isLocatedIn
666|52|isLocatedIn
667|52|isLocatedIn
668|52|isLocatedIn
669|52|isLocatedIn
670|52|isLocatedIn
671|52|isLocatedIn
672|52|isLocatedIn
673|52|isLocatedIn
674|52|isLocatedIn
675|52|isLocatedIn
676|52|isLocatedIn
677|52|isLocatedIn
678|52|isLocatedIn
679|52|isLocatedIn
680|52|isLocatedIn
681|52|isLocatedIn
682|52|isLocatedIn
683|18|isLocatedIn
684|18|isLocatedIn
685|18|isLocatedIn
686|18|isLocatedIn
687|18|isLocatedIn
688|18|isLocatedIn
689|18|isLocatedIn
690|18|isLocatedIn
691|18|isLocatedIn
692|18|isLocatedIn
693|18|isLocatedIn
694|18|isLocatedIn
695|18|isLocatedIn
696|82|isLocatedIn
697|82|isLocatedIn
698|82|isLocatedIn
699|82|isLocatedIn
700|82|isLocatedIn
701|82|isLocatedIn
702|82|isLocatedIn
703|82|isLocatedIn
704|82|isLocatedIn
705|82|isLocatedIn
706|82|isLocatedIn
707|82|isLocatedIn
708|82|isLocatedIn
709|82|isLocatedIn
710|82|isLocatedIn
711|82|isLocatedIn
712|82|isLocatedIn
713|82|isLocatedIn
714|82|isLocatedIn
715|82|isLocatedIn
716|83|isLocatedIn
717|83|isLocatedIn
718|83|isLocatedIn
