:START_ID(Post)|:END_ID(Person)|:TYPE
343597383680|8796093022220|hasCreator
343597383681|8796093022220|hasCreator
343597383682|8796093022220|hasCreator
343597383683|8796093022220|hasCreator
343597383684|8796093022220|hasCreator
343597383685|8796093022220|hasCreator
343597383686|8796093022220|hasCreator
343597383687|8796093022220|hasCreator
343597383688|8796093022220|hasCreator
343597383689|8796093022220|hasCreator
343597383690|8796093022220|hasCreator
343597383691|8796093022220|hasCreator
343597383692|8796093022220|hasCreator
343597383693|8796093022220|hasCreator
343597383694|8796093022220|hasCreator
343597383695|8796093022220|hasCreator
343597383696|8796093022220|hasCreator
343597383697|8796093022220|hasCreator
343597383698|8796093022220|hasCreator
343597383699|8796093022220|hasCreator
343597383700|8796093022220|hasCreator
343597383701|8796093022220|hasCreator
343597383702|8796093022220|hasCreator
343597383703|8796093022220|hasCreator
343597383704|8796093022220|hasCreator
343597383705|8796093022220|hasCreator
343597383706|8796093022220|hasCreator
343597383707|8796093022220|hasCreator
343597383708|8796093022220|hasCreator
343597383709|8796093022220|hasCreator
343597383710|8796093022220|hasCreator
343597383711|8796093022220|hasCreator
343597383712|8796093022220|hasCreator
343597383713|8796093022220|hasCreator
343597383714|8796093022220|hasCreator
137438953507|4398046511192|hasCreator
343597383716|2199023255711|hasCreator
206158430245|2199023255711|hasCreator
206158430265|2199023255711|hasCreator
206158430266|2199023255711|hasCreator
206158430267|2199023255711|hasCreator
206158430268|2199023255711|hasCreator
206158430269|2199023255711|hasCreator
206158430270|2199023255711|hasCreator
206158430271|2199023255711|hasCreator
68719476800|2199023255711|hasCreator
137438953537|2199023255711|hasCreator
137438953538|2199023255711|hasCreator
137438953539|2199023255711|hasCreator
137438953540|2199023255711|hasCreator
137438953541|2199023255711|hasCreator
137438953542|2199023255711|hasCreator
137438953543|2199023255711|hasCreator
137438953544|2199023255711|hasCreator
137438953545|2199023255711|hasCreator
137438953546|2199023255711|hasCreator
137438953547|2199023255711|hasCreator
137438953548|2199023255711|hasCreator
137438953549|2199023255711|hasCreator
137438953550|2199023255711|hasCreator
137438953551|2199023255711|hasCreator
137438953552|2199023255711|hasCreator
137438953553|2199023255711|hasCreator
137438953554|2199023255711|hasCreator
68719476819|2199023255711|hasCreator
68719476820|2199023255711|hasCreator
68719476821|2199023255711|hasCreator
68719476822|2199023255711|hasCreator
68719476823|2199023255711|hasCreator
68719476824|2199023255711|hasCreator
68719476825|2199023255711|hasCreator
68719476826|2199023255711|hasCreator
68719476827|2199023255711|hasCreator
68719476828|2199023255711|hasCreator
68719476829|2199023255711|hasCreator
68719476830|2199023255711|hasCreator
68719476831|2199023255711|hasCreator
68719476832|2199023255711|hasCreator
68719476833|2199023255711|hasCreator
68719476834|2199023255711|hasCreator
68719476835|2199023255711|hasCreator
68719476836|2199023255711|hasCreator
68719476837|2199023255711|hasCreator
68719476838|2199023255711|hasCreator
206158430311|2199023255711|hasCreator
274877907048|2199023255711|hasCreator
274877907049|2199023255711|hasCreator
274877907050|2199023255711|hasCreator
274877907051|2199023255711|hasCreator
274877907052|2199023255711|hasCreator
274877907053|2199023255711|hasCreator
274877907054|2199023255711|hasCreator
274877907055|2199023255711|hasCreator
274877907056|2199023255711|hasCreator
274877907057|2199023255711|hasCreator
274877907058|2199023255711|hasCreator
274877907059|2199023255711|hasCreator
274877907060|2199023255711|hasCreator
274877907061|2199023255711|hasCreator
274877907062|2199023255711|hasCreator
274877907063|2199023255711|hasCreator
274877907064|2199023255711|hasCreator
274877907065|2199023255711|hasCreator
274877907066|2199023255711|hasCreator
274877907067|2199023255711|hasCreator
274877907068|2199023255711|hasCreator
274877907069|2199023255711|hasCreator
274877907070|2199023255711|hasCreator
274877907071|2199023255711|hasCreator
274877907072|2199023255711|hasCreator
206158430337|2199023255711|hasCreator
206158430338|2199023255711|hasCreator
206158430339|2199023255711|hasCreator
206158430340|2199023255711|hasCreator
