:START_ID(Post)|:END_ID(Place)|:TYPE
343597383680|110|isLocatedIn
343597383681|71|isLocatedIn
343597383682|71|isLocatedIn
343597383683|71|isLocatedIn
343597383684|71|isLocatedIn
343597383685|71|isLocatedIn
343597383686|71|isLocatedIn
343597383687|71|isLocatedIn
343597383688|71|isLocatedIn
343597383689|71|isLocatedIn
343597383690|71|isLocatedIn
343597383691|71|isLocatedIn
343597383692|71|isLocatedIn
343597383693|71|isLocatedIn
343597383694|71|isLocatedIn
343597383695|71|isLocatedIn
343597383696|71|isLocatedIn
343597383697|71|isLocatedIn
343597383698|23|isLocatedIn
343597383699|71|isLocatedIn
343597383700|71|isLocatedIn
343597383701|71|isLocatedIn
343597383702|71|isLocatedIn
343597383703|71|isLocatedIn
343597383704|71|isLocatedIn
343597383705|71|isLocatedIn
343597383706|71|isLocatedIn
343597383707|71|isLocatedIn
343597383708|71|isLocatedIn
343597383709|71|isLocatedIn
343597383710|71|isLocatedIn
343597383711|71|isLocatedIn
343597383712|71|isLocatedIn
343597383713|71|isLocatedIn
343597383714|71|isLocatedIn
137438953507|1|isLocatedIn
343597383716|99|isLocatedIn
206158430245|99|isLocatedIn
206158430265|99|isLocatedIn
206158430266|99|isLocatedIn
206158430267|99|isLocatedIn
206158430268|99|isLocatedIn
206158430269|99|isLocatedIn
206158430270|99|isLocatedIn
206158430271|99|isLocatedIn
68719476800|99|isLocatedIn
137438953537|99|isLocatedIn
137438953538|99|isLocatedIn
137438953539|99|isLocatedIn
137438953540|99|isLocatedIn
137438953541|99|isLocatedIn
137438953542|99|isLocatedIn
137438953543|99|isLocatedIn
137438953544|0|isLocatedIn
137438953545|99|isLocatedIn
137438953546|99|isLocatedIn
137438953547|99|isLocatedIn
137438953548|99|isLocatedIn
137438953549|99|isLocatedIn
137438953550|101|isLocatedIn
137438953551|99|isLocatedIn
137438953552|99|isLocatedIn
137438953553|99|isLocatedIn
137438953554|99|isLocatedIn
68719476819|99|isLocatedIn
68719476820|99|isLocatedIn
68719476821|99|isLocatedIn
68719476822|99|isLocatedIn
68719476823|99|isLocatedIn
68719476824|99|isLocatedIn
68719476825|99|isLocatedIn
68719476826|99|isLocatedIn
68719476827|99|isLocatedIn
68719476828|99|isLocatedIn
68719476829|99|isLocatedIn
68719476830|99|isLocatedIn
68719476831|99|isLocatedIn
68719476832|99|isLocatedIn
68719476833|99|isLocatedIn
68719476834|99|isLocatedIn
68719476835|99|isLocatedIn
68719476836|99|isLocatedIn
68719476837|99|isLocatedIn
68719476838|99|isLocatedIn
206158430311|99|isLocatedIn
274877907048|99|isLocatedIn
274877907049|99|isLocatedIn
274877907050|99|isLocatedIn
274877907051|99|isLocatedIn
274877907052|99|isLocatedIn
274877907053|99|isLocatedIn
274877907054|99|isLocatedIn
274877907055|99|isLocatedIn
274877907056|99|isLocatedIn
274877907057|99|isLocatedIn
274877907058|99|isLocatedIn
274877907059|99|isLocatedIn
274877907060|99|isLocatedIn
274877907061|99|isLocatedIn
274877907062|99|isLocatedIn
274877907063|99|isLocatedIn
274877907064|99|isLocatedIn
274877907065|99|isLocatedIn
274877907066|99|isLocatedIn
274877907067|99|isLocatedIn
274877907068|99|isLocatedIn
274877907069|99|isLocatedIn
274877907070|99|isLocatedIn
274877907071|99|isLocatedIn
274877907072|99|isLocatedIn
206158430337|99|isLocatedIn
206158430338|99|isLocatedIn
206158430339|99|isLocatedIn
206158430340|99|isLocatedIn
206158430341|99|isLocatedIn
206158430342|99|isLocatedIn
206158430343|99|isLocatedIn
206158430344|99|isLocatedIn
206158430345|99|isLocatedIn
206158430346|99|isLocatedIn
206158430347|99|isLocatedIn
206158430348|99|isLocatedIn
206158430349|99|isLocatedIn
206158430350|99|isLocatedIn
206158430351|99|isLocatedIn
206158430352|99|isLocatedIn
343597383825|56|isLocatedIn
