:START_ID(Tag)|:END_ID(Tagclass)|:TYPE
0|349|hasType
1|211|hasType
2|98|hasType
3|336|hasType
4|336|hasType
5|336|hasType
6|193|hasType
7|82|hasType
8|88|hasType
9|211|hasType
10|57|hasType
11|94|hasType
12|59|hasType
13|59|hasType
14|59|hasType
15|349|hasType
16|59|hasType
17|59|hasType
18|59|hasType
19|59|hasType
20|59|hasType
21|59|hasType
22|57|hasType
23|74|hasType
24|115|hasType
25|57|hasType
26|211|hasType
27|59|hasType
28|59|hasType
29|59|hasType
30|59|hasType
31|59|hasType
32|37|hasType
33|349|hasType
34|59|hasType
35|59|hasType
36|59|hasType
37|59|hasType
38|349|hasType
39|74|hasType
40|74|hasType
41|57|hasType
42|115|hasType
43|59|hasType
44|59|hasType
45|59|hasType
46|57|hasType
47|59|hasType
48|59|hasType
49|59|hasType
50|57|hasType
51|74|hasType
52|59|hasType
53|59|hasType
54|59|hasType
55|94|hasType
56|59|hasType
57|59|hasType
58|349|hasType
59|211|hasType
60|59|hasType
61|349|hasType
62|59|hasType
63|349|hasType
64|148|hasType
65|115|hasType
66|24|hasType
67|211|hasType
68|59|hasType
69|349|hasType
70|59|hasType
71|211|hasType
72|211|hasType
73|24|hasType
74|349|hasType
75|37|hasType
76|37|hasType
77|349|hasType
78|59|hasType
79|115|hasType
80|211|hasType
81|59|hasType
82|24|hasType
83|211|hasType
84|115|hasType
85|59|hasType
86|59|hasType
87|211|hasType
88|59|hasType
89|115|hasType
90|115|hasType
91|191|hasType
92|211|hasType
93|59|hasType
94|148|hasType
95|59|hasType
96|59|hasType
97|59|hasType
98|211|hasType
99|24|hasType
100|211|hasType
101|59|hasType
102|24|hasType
103|115|hasType
104|211|hasType
105|211|hasType
106|211|hasType
107|211|hasType
108|59|hasType
109|59|hasType
110|211|hasType
111|88|hasType
112|349|hasType
113|349|hasType
114|211|hasType
115|59|hasType
116|24|hasType
117|211|hasType
118|148|hasType
119|82|hasType
120|349|hasType
121|59|hasType
122|96|hasType
123|24|hasType
124|59|hasType
125|349|hasType
126|319|hasType
127|95|hasType
128|59|hasType
129|349|hasType
130|349|hasType
131|349|hasType
132|211|hasType
133|349|hasType
134|59|hasType
135|24|hasType
136|59|hasType
137|211|hasType
138|57|hasType
139|211|hasType
140|349|hasType
141|211|hasType
142|211|hasType
143|211|hasType
144|336|hasType
145|336|hasType
146|211|hasType
147|336|hasType
148|211|hasType
149|336|hasType
150|211|hasType
151|59|hasType
152|336|hasType
153|211|hasType
154|211|hasType
155|211|hasType
156|82|hasType
157|211|hasType
158|211|hasType
159|336|hasType
160|336|hasType
161|59|hasType
162|336|hasType
163|336|hasType
164|37|hasType
165|59|hasType
166|59|hasType
167|211|hasType
168|336|hasType
169|211|hasType
170|336|hasType
171|37|hasType
172|59|hasType
173|336|hasType
174|279|hasType
175|336|hasType
176|336|hasType
177|211|hasType
178|59|hasType
179|37|hasType
180|115|hasType
181|336|hasType
182|82|hasType
183|336|hasType
184|59|hasType
185|211|hasType
186|59|hasType
187|226|hasType
188|336|hasType
189|37|hasType
190|211|hasType
191|211|hasType
192|279|hasType
193|211|hasType
194|211|hasType
195|349|hasType
196|59|hasType
197|59|hasType
198|250|hasType
199|349|hasType
200|59|hasType
201|211|hasType
202|59|hasType
203|59|hasType
204|3|hasType
205|336|hasType
206|336|hasType
207|211|hasType
208|59|hasType
209|336|hasType
210|59|hasType
211|59|hasType
212|211|hasType
213|59|hasType
214|115|hasType
215|336|hasType
216|230|hasType
217|37|hasType
218|115|hasType
219|211|hasType
220|59|hasType
221|336|hasType
222|336|hasType
223|97|hasType
224|37|hasType
225|3|hasType
226|82|hasType
227|250|hasType
228|319|hasType
229|59|hasType
230|88|hasType
231|59|hasType
232|59|hasType
233|59|hasType
234|59|hasType
235|211|hasType
236|115|hasType
237|59|hasType
238|336|hasType
239|336|hasType
240|59|hasType
241|211|hasType
242|88|hasType
243|349|hasType
244|59|hasType
245|59|hasType
246|74|hasType
247|349|hasType
248|74|hasType
249|59|hasType
250|74|hasType
251|59|hasType
252|336|hasType
253|115|hasType
254|57|hasType
255|115|hasType
256|115|hasType
257|211|hasType
258|74|hasType
259|211|hasType
260|336|hasType
261|211|hasType
262|59|hasType
263|94|hasType
264|59|hasType
265|59|hasType
266|88|hasType
267|74|hasType
268|59|hasType
269|98|hasType
270|211|hasType
271|59|hasType
272|74|hasType
273|349|hasType
274|115|hasType
275|336|hasType
276|59|hasType
277|115|hasType
278|115|hasType
279|115|hasType
280|349|hasType
281|115|hasType
282|349|hasType
283|115|hasType
284|115|hasType
285|115|hasType
286|115|hasType
287|211|hasType
288|349|hasType
289|13|hasType
290|148|hasType
291|115|hasType
292|148|hasType
293|211|hasType
294|349|hasType
295|211|hasType
296|115|hasType
297|115|hasType
298|115|hasType
299|115|hasType
300|115|hasType
301|211|hasType
302|115|hasType
303|211|hasType
304|115|hasType
305|349|hasType
306|88|hasType
307|148|hasType
308|211|hasType
309|211|hasType
310|115|hasType
311|211|hasType
312|37|hasType
313|211|hasType
314|115|hasType
315|211|hasType
316|211|hasType
317|96|hasType
318|148|hasType
319|59|hasType
320|59|hasType
321|211|hasType
322|13|hasType
323|212|hasType
324|115|hasType
325|349|hasType
326|349|hasType
327|115|hasType
328|211|hasType
329|211|hasType
330|349|hasType
331|211|hasType
332|211|hasType
333|211|hasType
334|211|hasType
335|349|hasType
336|88|hasType
337|148|hasType
338|82|hasType
339|211|hasType
340|115|hasType
341|349|hasType
342|349|hasType
343|115|hasType
344|96|hasType
345|349|hasType
346|211|hasType
347|115|hasType
348|211|hasType
349|13|hasType
350|349|hasType
351|59|hasType
352|13|hasType
353|211|hasType
354|57|hasType
355|13|hasType
356|115|hasType
357|211|hasType
358|148|hasType
359|279|hasType
360|115|hasType
361|211|hasType
362|211|hasType
363|211|hasType
364|148|hasType
365|13|hasType
366|211|hasType
367|330|hasType
368|349|hasType
369|96|hasType
370|13|hasType
371|13|hasType
372|211|hasType
373|115|hasType
374|97|hasType
375|211|hasType
376|211|hasType
377|13|hasType
378|13|hasType
379|211|hasType
380|211|hasType
381|211|hasType
382|211|hasType
383|148|hasType
384|349|hasType
385|59|hasType
386|59|hasType
387|96|hasType
388|211|hasType
389|13|hasType
390|211|hasType
391|211|hasType
392|211|hasType
393|211|hasType
394|115|hasType
395|13|hasType
396|349|hasType
397|88|hasType
398|115|hasType
399|97|hasType
400|211|hasType
401|43|hasType
402|211|hasType
403|211|hasType
404|211|hasType
405|59|hasType
406|115|hasType
407|115|hasType
408|57|hasType
409|59|hasType
410|59|hasType
411|88|hasType
412|59|hasType
413|59|hasType
414|211|hasType
415|349|hasType
416|57|hasType
417|57|hasType
418|82|hasType
419|349|hasType
420|349|hasType
421|211|hasType
422|349|hasType
423|336|hasType
424|211|hasType
425|211|hasType
426|200|hasType
427|349|hasType
428|250|hasType
429|59|hasType
430|336|hasType
431|212|hasType
432|336|hasType
433|57|hasType
434|336|hasType
435|200|hasType
436|354|hasType
437|211|hasType
438|336|hasType
439|59|hasType
440|200|hasType
441|115|hasType
442|88|hasType
443|141|hasType
444|115|hasType
445|57|hasType
446|96|hasType
447|59|hasType
448|57|hasType
449|98|hasType
450|59|hasType
451|279|hasType
452|59|hasType
453|82|hasType
454|59|hasType
455|59|hasType
456|98|hasType
457|59|hasType
458|349|hasType
459|115|hasType
460|57|hasType
461|115|hasType
462|211|hasType
463|211|hasType
464|211|hasType
465|211|hasType
466|88|hasType
467|88|hasType
468|279|hasType
469|211|hasType
470|88|hasType
471|115|hasType
472|59|hasType
473|59|hasType
474|336|hasType
475|59|hasType
476|59|hasType
477|88|hasType
478|59|hasType
479|59|hasType
480|59|hasType
481|115|hasType
482|59|hasType
483|349|hasType
484|59|hasType
485|88|hasType
486|349|hasType
487|59|hasType
488|59|hasType
489|59|hasType
490|59|hasType
491|59|hasType
492|336|hasType
493|82|hasType
494|211|hasType
495|59|hasType
496|59|hasType
497|59|hasType
498|59|hasType
499|59|hasType
500|279|hasType
501|59|hasType
502|59|hasType
503|59|hasType
504|211|hasType
505|59|hasType
506|211|hasType
507|59|hasType
508|279|hasType
509|13|hasType
510|59|hasType
511|59|hasType
512|59|hasType
513|3|hasType
514|57|hasType
515|59|hasType
516|336|hasType
517|59|hasType
518|82|hasType
519|59|hasType
520|59|hasType
521|57|hasType
522|57|hasType
523|279|hasType
524|88|hasType
525|82|hasType
526|336|hasType
527|336|hasType
528|336|hasType
529|59|hasType
530|279|hasType
531|336|hasType
532|211|hasType
533|59|hasType
534|336|hasType
535|336|hasType
536|250|hasType
537|336|hasType
538|310|hasType
539|310|hasType
540|310|hasType
541|349|hasType
542|310|hasType
543|349|hasType
544|57|hasType
545|336|hasType
546|193|hasType
547|193|hasType
548|349|hasType
549|211|hasType
550|95|hasType
551|211|hasType
552|98|hasType
553|211|hasType
554|82|hasType
555|211|hasType
556|88|hasType
557|193|hasType
558|59|hasType
559|211|hasType
560|349|hasType
561|336|hasType
562|149|hasType
563|349|hasType
564|57|hasType
565|336|hasType
566|336|hasType
567|336|hasType
568|349|hasType
569|336|hasType
570|336|hasType
571|336|hasType
572|211|hasType
573|88|hasType
574|336|hasType
575|82|hasType
576|349|hasType
577|88|hasType
578|82|hasType
579|193|hasType
580|349|hasType
581|115|hasType
582|211|hasType
583|336|hasType
584|3|hasType
585|336|hasType
586|250|hasType
587|336|hasType
588|211|hasType
589|59|hasType
590|88|hasType
591|336|hasType
592|349|hasType
593|211|hasType
594|82|hasType
595|59|hasType
596|279|hasType
597|211|hasType
598|250|hasType
599|211|hasType
600|250|hasType
601|279|hasType
602|211|hasType
603|211|hasType
604|336|hasType
605|211|hasType
606|336|hasType
607|211|hasType
608|336|hasType
609|88|hasType
610|250|hasType
611|250|hasType
612|74|hasType
613|88|hasType
614|211|hasType
615|349|hasType
616|250|hasType
617|59|hasType
618|37|hasType
619|336|hasType
620|279|hasType
621|59|hasType
622|115|hasType
623|211|hasType
624|211|hasType
625|59|hasType
626|74|hasType
627|250|hasType
628|336|hasType
629|193|hasType
630|336|hasType
631|82|hasType
632|349|hasType
633|211|hasType
634|279|hasType
635|211|hasType
636|59|hasType
637|59|hasType
638|59|hasType
639|88|hasType
640|88|hasType
641|336|hasType
642|82|hasType
643|59|hasType
644|88|hasType
645|88|hasType
646|336|hasType
647|250|hasType
648|336|hasType
649|59|hasType
650|336|hasType
651|82|hasType
652|211|hasType
653|37|hasType
654|336|hasType
655|250|hasType
656|211|hasType
657|115|hasType
658|59|hasType
659|336|hasType
660|82|hasType
661|88|hasType
662|279|hasType
663|336|hasType
664|250|hasType
665|82|hasType
666|336|hasType
667|211|hasType
668|211|hasType
669|211|hasType
670|336|hasType
671|211|hasType
672|37|hasType
673|211|hasType
674|336|hasType
675|250|hasType
676|59|hasType
677|211|hasType
678|59|hasType
679|59|hasType
680|250|hasType
681|94|hasType
682|279|hasType
683|250|hasType
684|59|hasType
685|3|hasType
686|82|hasType
687|279|hasType
688|88|hasType
689|82|hasType
690|88|hasType
691|336|hasType
692|211|hasType
693|336|hasType
694|349|hasType
695|279|hasType
696|59|hasType
697|193|hasType
698|59|hasType
699|211|hasType
700|211|hasType
701|279|hasType
702|88|hasType
703|148|hasType
704|59|hasType
705|59|hasType
706|59|hasType
707|250|hasType
708|211|hasType
709|211|hasType
710|211|hasType
711|3|hasType
712|336|hasType
713|88|hasType
714|59|hasType
715|211|hasType
716|279|hasType
717|82|hasType
718|82|hasType
719|88|hasType
720|59|hasType
721|88|hasType
722|94|hasType
723|59|hasType
724|279|hasType
725|88|hasType
726|211|hasType
727|211|hasType
728|211|hasType
729|211|hasType
730|94|hasType
731|57|hasType
732|211|hasType
733|88|hasType
734|211|hasType
735|88|hasType
736|336|hasType
737|211|hasType
738|279|hasType
739|211|hasType
740|59|hasType
741|336|hasType
742|250|hasType
743|336|hasType
744|211|hasType
745|332|hasType
746|115|hasType
747|336|hasType
748|336|hasType
749|193|hasType
750|211|hasType
751|250|hasType
752|88|hasType
753|336|hasType
754|82|hasType
755|349|hasType
756|193|hasType
757|88|hasType
758|115|hasType
759|3|hasType
760|336|hasType
761|57|hasType
762|211|hasType
763|211|hasType
764|279|hasType
765|88|hasType
766|211|hasType
767|59|hasType
768|211|hasType
769|336|hasType
770|211|hasType
771|74|hasType
772|336|hasType
773|59|hasType
774|211|hasType
775|332|hasType
776|211|hasType
777|279|hasType
778|82|hasType
779|211|hasType
780|88|hasType
781|211|hasType
782|82|hasType
783|336|hasType
784|211|hasType
785|88|hasType
786|211|hasType
787|211|hasType
788|336|hasType
789|82|hasType
790|82|hasType
791|349|hasType
792|336|hasType
793|349|hasType
794|349|hasType
795|336|hasType
796|349|hasType
797|211|hasType
798|88|hasType
799|250|hasType
800|37|hasType
801|211|hasType
802|211|hasType
803|59|hasType
804|211|hasType
805|211|hasType
806|82|hasType
807|3|hasType
808|82|hasType
809|211|hasType
810|115|hasType
811|211|hasType
812|59|hasType
813|59|hasType
814|211|hasType
815|279|hasType
816|250|hasType
817|88|hasType
818|349|hasType
819|336|hasType
820|279|hasType
821|336|hasType
822|279|hasType
823|336|hasType
824|336|hasType
825|279|hasType
826|211|hasType
827|59|hasType
828|115|hasType
829|336|hasType
830|59|hasType
831|332|hasType
832|59|hasType
833|211|hasType
834|349|hasType
835|211|hasType
836|336|hasType
837|211|hasType
838|212|hasType
839|336|hasType
840|211|hasType
841|88|hasType
842|279|hasType
843|349|hasType
844|336|hasType
845|211|hasType
846|279|hasType
847|336|hasType
848|3|hasType
849|211|hasType
850|336|hasType
851|336|hasType
852|88|hasType
853|59|hasType
854|211|hasType
855|349|hasType
856|59|hasType
857|82|hasType
858|279|hasType
859|211|hasType
860|211|hasType
861|349|hasType
862|349|hasType
863|349|hasType
864|88|hasType
865|37|hasType
866|82|hasType
867|59|hasType
868|336|hasType
869|211|hasType
870|336|hasType
871|88|hasType
872|279|hasType
873|336|hasType
874|279|hasType
875|349|hasType
876|212|hasType
877|59|hasType
878|355|hasType
879|279|hasType
880|336|hasType
881|250|hasType
882|59|hasType
883|250|hasType
884|336|hasType
885|37|hasType
886|349|hasType
887|279|hasType
888|59|hasType
889|279|hasType
890|82|hasType
891|336|hasType
892|59|hasType
893|211|hasType
894|336|hasType
895|349|hasType
896|336|hasType
897|336|hasType
898|59|hasType
899|336|hasType
900|336|hasType
901|211|hasType
902|115|hasType
903|88|hasType
904|193|hasType
905|59|hasType
906|82|hasType
907|37|hasType
908|211|hasType
909|96|hasType
910|3|hasType
911|211|hasType
912|94|hasType
913|336|hasType
914|94|hasType
915|59|hasType
916|59|hasType
917|3|hasType
918|336|hasType
919|211|hasType
920|336|hasType
921|211|hasType
922|336|hasType
923|211|hasType
924|211|hasType
925|211|hasType
926|115|hasType
927|59|hasType
928|336|hasType
929|211|hasType
930|211|hasType
931|211|hasType
932|59|hasType
933|3|hasType
934|211|hasType
935|211|hasType
936|354|hasType
937|279|hasType
938|336|hasType
939|191|hasType
940|82|hasType
941|336|hasType
942|3|hasType
943|115|hasType
944|74|hasType
945|211|hasType
946|279|hasType
947|355|hasType
948|88|hasType
949|336|hasType
950|279|hasType
951|279|hasType
952|94|hasType
953|250|hasType
954|211|hasType
955|115|hasType
956|88|hasType
957|82|hasType
958|279|hasType
959|211|hasType
960|59|hasType
961|59|hasType
962|82|hasType
963|193|hasType
964|59|hasType
965|336|hasType
966|336|hasType
967|279|hasType
968|336|hasType
969|349|hasType
970|336|hasType
971|115|hasType
972|349|hasType
973|82|hasType
974|88|hasType
975|336|hasType
976|82|hasType
977|349|hasType
978|211|hasType
979|211|hasType
980|211|hasType
981|211|hasType
982|279|hasType
983|82|hasType
984|115|hasType
985|98|hasType
986|193|hasType
987|193|hasType
988|250|hasType
989|59|hasType
990|211|hasType
991|3|hasType
992|349|hasType
993|115|hasType
994|349|hasType
995|82|hasType
996|82|hasType
997|336|hasType
998|336|hasType
999|250|hasType
1000|279|hasType
1001|211|hasType
1002|211|hasType
1003|211|hasType
1004|336|hasType
1005|57|hasType
1006|336|hasType
1007|59|hasType
1008|211|hasType
1009|279|hasType
1010|211|hasType
1011|88|hasType
1012|279|hasType
1013|59|hasType
1014|211|hasType
1015|211|hasType
1016|211|hasType
1017|211|hasType
1018|279|hasType
1019|211|hasType
1020|82|hasType
1021|211|hasType
1022|88|hasType
1023|349|hasType
1024|88|hasType
1025|115|hasType
1026|349|hasType
1027|211|hasType
1028|349|hasType
1029|211|hasType
1030|336|hasType
1031|59|hasType
1032|88|hasType
1033|98|hasType
1034|211|hasType
1035|115|hasType
1036|211|hasType
1037|211|hasType
1038|115|hasType
1039|98|hasType
1040|115|hasType
1041|115|hasType
1042|211|hasType
1043|88|hasType
1044|349|hasType
1045|24|hasType
1046|211|hasType
1047|211|hasType
1048|115|hasType
1049|349|hasType
1050|115|hasType
1051|115|hasType
1052|211|hasType
1053|211|hasType
1054|211|hasType
1055|59|hasType
1056|96|hasType
1057|211|hasType
1058|115|hasType
1059|211|hasType
1060|115|hasType
1061|211|hasType
1062|349|hasType
1063|211|hasType
1064|211|hasType
1065|211|hasType
1066|211|hasType
1067|211|hasType
1068|211|hasType
1069|349|hasType
1070|349|hasType
1071|211|hasType
1072|211|hasType
1073|115|hasType
1074|211|hasType
1075|115|hasType
1076|211|hasType
1077|211|hasType
1078|211|hasType
1079|211|hasType
1080|88|hasType
1081|211|hasType
1082|211|hasType
1083|211|hasType
1084|115|hasType
1085|98|hasType
1086|211|hasType
1087|211|hasType
1088|211|hasType
1089|24|hasType
1090|211|hasType
1091|98|hasType
1092|211|hasType
1093|115|hasType
1094|211|hasType
1095|211|hasType
1096|349|hasType
1097|211|hasType
1098|336|hasType
1099|211|hasType
1100|59|hasType
1101|211|hasType
1102|3|hasType
1103|211|hasType
1104|115|hasType
1105|211|hasType
1106|211|hasType
1107|211|hasType
1108|24|hasType
1109|24|hasType
1110|211|hasType
1111|211|hasType
1112|349|hasType
1113|211|hasType
1114|211|hasType
1115|349|hasType
1116|211|hasType
1117|211|hasType
1118|349|hasType
1119|211|hasType
1120|349|hasType
1121|211|hasType
1122|211|hasType
1123|211|hasType
1124|211|hasType
1125|211|hasType
1126|24|hasType
1127|59|hasType
1128|211|hasType
1129|211|hasType
1130|211|hasType
1131|211|hasType
1132|211|hasType
1133|211|hasType
1134|211|hasType
1135|115|hasType
1136|211|hasType
1137|211|hasType
1138|211|hasType
1139|211|hasType
1140|24|hasType
1141|211|hasType
1142|211|hasType
1143|211|hasType
1144|211|hasType
1145|88|hasType
1146|211|hasType
